epoch	train_acc	valid_acc	train_loss	valid_loss
1.0	0.22677364945411682	0.38277512788772583	2.1166069507598877	1.9032518863677979
2.0	0.48099660873413086	0.5980861186981201	1.4604517221450806	1.1671607494354248
3.0	0.6482263803482056	0.7990430593490601	1.009042501449585	0.7790378928184509
4.0	0.7554898858070374	0.8947368264198303	0.7720377445220947	0.4761199355125427
5.0	0.8158783912658691	0.8708133697509766	0.5518335700035095	0.42613187432289124
6.0	0.8500844836235046	0.8875598311424255	0.46540266275405884	0.33193764090538025
7.0	0.8711993098258972	0.8947368264198303	0.42493778467178345	0.3037474751472473
8.0	0.8864020109176636	0.9138755798339844	0.3651641607284546	0.2683503031730652
9.0	0.8902027010917664	0.9569377899169922	0.34330588579177856	0.23551353812217712
10.0	0.8952702879905701	0.9569377899169922	0.32358917593955994	0.22471018135547638
11.0	0.9180743098258972	0.9521530866622925	0.2837979197502136	0.20612576603889465
12.0	0.9189189076423645	0.9497607946395874	0.27540624141693115	0.17975018918514252
13.0	0.9206081032752991	0.9712918400764465	0.260854572057724	0.15336565673351288
14.0	0.9311655163764954	0.9760765433311462	0.23972292244434357	0.14399908483028412
15.0	0.9303209185600281	0.980861246585846	0.23205778002738953	0.1556321084499359
16.0	0.9328547120094299	0.9712918400764465	0.22079959511756897	0.1286790668964386
17.0	0.9425675868988037	0.9688995480537415	0.22103828191757202	0.1521545648574829
18.0	0.9383445978164673	0.9545454382896423	0.2108658105134964	0.18432249128818512
19.0	0.9451013803482056	0.980861246585846	0.1870758980512619	0.1197221502661705
20.0	0.9379222989082336	0.9832535982131958	0.20908817648887634	0.1251203864812851
21.0	0.9493243098258972	0.9784688949584961	0.18198376893997192	0.12598715722560883
22.0	0.9489020109176636	0.9784688949584961	0.17678867280483246	0.12283969670534134
23.0	0.9539695978164673	0.9784688949584961	0.1499268263578415	0.11141970753669739
24.0	0.9569256901741028	0.9784688949584961	0.14148235321044922	0.12973110377788544
25.0	0.9565033912658691	0.980861246585846	0.15866601467132568	0.10381186008453369
26.0	0.9569256901741028	0.980861246585846	0.15145017206668854	0.10274257510900497
27.0	0.9581925868988037	0.9760765433311462	0.15554583072662354	0.10962428152561188
28.0	0.9670608043670654	0.9784688949584961	0.10856030136346817	0.09585113823413849
29.0	0.9569256901741028	0.9784688949584961	0.14477428793907166	0.1005723774433136
30.0	0.9615709185600281	0.980861246585846	0.121100515127182	0.11732097715139389
